nameDAY,DATE,Target,CAL,Monday,Tuesday,Wednesday,Thursday,Friday,traffic,accident,fix,Rain,Vibhavadi,Khae_Rai_Intersection,PhraNangKlao_Bridge,Rattanathibet,PhongPhet_Intersection,Bangkhen,Kaset_Intersection,Ngamwongwan
พฤหัสบดี,1/10/2020,0,71,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1
ศุกร์,2/10/2020,0,63,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1
จันทร์,5/10/2020,0,64,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1
อังคาร,6/10/2020,0,72,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
พุธ,7/10/2020,0,56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
พฤหัสบดี,8/10/2020,0,56,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0
ศุกร์,9/10/2020,0,56,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0
จันทร์,12/10/2020,0,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
พุธ,14/10/2020,0,71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
พฤหัสบดี,15/10/2020,0,60,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
จันทร์,19/10/2020,0,79,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
อังคาร,20/10/2020,0,67,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
พุธ,21/10/2020,0,57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
พฤหัสบดี,22/10/2020,0,48,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
